Title,Responsibility,Associated Places,Publication,Manufacture,Distribution,Date,Approximate Date,Copyright,Edition/Imprint,Pagination,Height,Width,Denomination,Notation,Language,Content,1850-1925,After 1925,Before 1850,Broadside,Confederate Imprint,Convention Gospel,Denominational Publication,Dispersed Harmony,Distributor in South,Ethnographic,Female Author/Publisher,Fraternal Society,Gospel,Liturgical/Devotional Content,Missionary Use,Native Use,Non-White,Occasional,Out-of-Country Publisher,Out-of-Region Publisher,Revival Use,Scientific Music,Singing School Use,Still in Use,Sheet Music,Spirituals,Sunday School Use,Tract Society Publication,Attestations,Source for Record,Emory Holdings,MTSU Holdings,SBTS Holdings,UK Holdings,Notes
New onward and upward,"Hildebrand, E. T.","Roanoke, VA; Logansport, IN",Hildebrand-Burnett Co.; The Home Music Co.,,,1909,,1900,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Best of all practical music reader : a superior and varied collection of gospel songs ... for day schools, institutes ...","Beazley, Samuel W.; Ware, G. S.; Hall, J. H.; Ruebush, W. H. Ruebush, J. H.","Dayton, VA",Ruebush-Kieffer Co.,,,1907,,1904,,?,?,,,?,English,Mixed?,Y,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,MTSU,MTSU (local),,Y,,,"MTSU record suggests that this is two volumes bound together, or at least with two title pages"
Living water songs,?,"Nashville, TN",Pentecostal Mission Publishing Co.,,,1904,Y,1904,,?,?,,Pentecostal,?,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Sunlight glees : for use in singing schools, literary schools, conventions and musical societies, containing an excellent and varied collection of sacred and secular songs","Oslin, S. J.; Young, G. L.; Lane, J. T.","Hot Springs, AR",Hartford Music Co.,,,1904,Y,1904,,?,?,,,?,English,Mixed,Y,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,MTSU,MTSU (local),,Y,,,
"Young people's hymnal no. 3, The : adapted to the use of Sunday Schools, Epworth Leagues, prayer meetings, and revivals","Atkins, James; Kirkpatrick, William J.","Nashville, TN; Dallas, TX","Publishing House, Methodist Episcopal Church, South",,,1908,,1905,,?,?,,"Methodist (MEC,S)",?,English,Sacred,Y,,,,,,Y,,,,,,Y,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Selections from the sacrifice of praise,"Meredith, I. H.; Tullar, Grant Colfax","New York, NY; Chicago, IL; Atlanta, GA",Tullar-Meredith,,,1907,,1906,,?,?,,,?,English,Sacred,Y,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,MTSU,MTSU (local),,Y,,,
Cumberland hymns,"Dale, W. T.","Nashville, TN",Cumberland Presbyterian Depository,,,1909,,1908,,?,?,,Presbyterian (Cumberland),?,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Religious folk songs of the Negro as sung on the plantations,"Fenner, Thomas P.?","Hampton, VA",?,Institute Press,,1916,,1909,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,,,MTSU,MTSU (local),,Y,,,
"Sunny south quartet book, The","Showalter, A. J.","Dalton, GA; Dallas, TX",A. J. Showalter; Showalter-Patton,,,1912,Y,1912,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Ideal praise  a collection of the best new and old songs for religious worship,"Edmonds, L. E.","Springfield, MO",Ozark Music,,,1915,Y,1915,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Life and service hymns,?,"Richmond, VA",Presbyterian Committee of Publication,,,1923,,1917,,?,?,,Presbyterian (PCUS),?,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Life and service hymns,?,"Richmond, VA",Presbyterian Committee of Publication,,,1924,,1917,,?,?,,Presbyterian (PCUS),?,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Beulah songs,"Sebren, George W.","Asheville, NC",George W. Sebren,,,1922,Y,1922,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Cheerful message,"Sebren, George W.","Asheville, NC?",Sebren Music Co.,,,1923,Y,1923,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Forty spirituals : mixed voices,?,"Chicago, IL",Hall & McCreary Company,,,1932,,1924,,?,?,,,?,English,Sacred,,Y,,,,,,,,,,,,,,,Y?,,,,,Y?,,,,Y,,,MTSU,MTSU (local),,Y,,,A 1924 imprint apparently existed as well
Beall's gospel songs number one : a collection of new and standard hymns,"Beall, B. B.","Douglasville, GA",B. B. Beall and Co.,,,1907,Y,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Beautiful showers of praise : a great collection of gospel songs and hymns for the church praise service and conventions,"Pannell, J. H.","Saltillo, MS; Pell City, AL; Springfield, MO; St. Louis, MO; Pleasant Point, TN",The Stanley-Gardner Co.; The Austin Hazelwood Co.; The Ozark Music Co.; H. N. Lincoln & Son; L. Dow McDonald,,,1918,Y,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Bells of Bethlehem,"Gaines, James W.; Dyess, Tony Q.; Francis, Onie L.; Parrish, Ben H.; Trull, Clarence A.; Bobo, G. W.; Tenton, Thomas J.; Williams, Curtis J.; Acuff, James W.; Fagan, P. M.; Cundiff, O. H.; Helms, Charles C.; Lowry, C. L.; Bridges, C. E.; Dean, Emmett S.","Waco, TX; Memphis, TN",The Trio Music Company,,,1920,,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Bethany hymns : a compilation of choice songs and hymns for use in evangelistic meetings, also suitable for Sunday school, Endeavor and church services ...",?,"Indianapolis, IN; Cincinnati, OH; St. Louis, MO; Chicago, IL; Pittsburgh, PA; Des Moines, IA; Dallas, TX",Hackleman Music Co.; Standard Publishing Co.; Christian Publishing Co.; Christian Century Co.; Christian Worker Co.; Christian Union Co.; Christian Courier Co.,,,1908,Y,,,?,?,,,?,English,Sacred,Y,,,,,,,,Y,,,,Y,,Y,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
"Bible songs of salvation and victory for God's people of every land : suitable for revivals, the church, Sunday-schools and the home","Knapp, M. W.","Cincinnati, OH",God's Revivalist Office,,,1902,Y,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Bright beautiful bells : a collection of songs for Sunday schools,"Beall, B. B.","Birmingham, AL; Buchanan, GA",B. B. Beall and Co.,,,1900,Y,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Calhoun by picture and song,?,"Calhoun, AL?",Calhoun Colored School,,,1909,,,,19,18,,,?,English,Mixed?,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Emory,Emory,Y,,,,
"Call, The : a choice collection of gospel songs, suitable for all religious worship and needed in all churches","Page, R. L., Jr.","Corinth, MS",The R. L. Page Music Company,,,1923,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Children of Zion,"Kieffer, Aldine S.","Dayton, VA","Ruebush, Kieffer and Co.",,,1891,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Chorus of praise, The","Black, J. M.","New York, NY; Boston, MA; Pittsburgh, PA; Detroit, MI; San Francisco, CA; Cincinnati, OH; Chicago, IL; St. Louis, MO",Eaton & Mains; Curts & Jennings,,,1898,,,,?,?,,Methodist (MEC)?,?,English,Sacred,Y,,,,,,Y?,,Y,,,,Y,,,,,,,Y,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Christian harmony, The : in the seven-syllable character note system of music ... hymn and psalm tunes, odes and anthems, selected from the best authors in Europe and America; together with a large number of new tunes, from eminent composers, never before published : embracing a great variety of metres suited to the various hymn and psalm books used by the different denominations of Christians; adapted to the use of singing schools, choirs, social and private singing societies : also a copious elucidation of the science of vocal music, and plain rules for beginners","Walker, William","Philadelphia, PA; Spartanburg, SC",E. W. Miller Co.; William Walker,,,1866,,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,Y,,,,,MTSU,MTSU (local),,Y,,,
"Christmas carols for use in churches, Sunday schools and community gatherings","Sweets, Henry H.","Louisville, KY",Department of Christian Education of the Presbyterian Church in the United States,,,1923,,,,?,?,,,?,English,Sacred,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
"Church singer, The : a collection of sacred music","Reden, Karl; Goodenough, S. J.","New York, NY; Cincinnati, OH",Carlton & Porter; Poe & Hitchcock,,,1863,,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,Y,,,,,,,,,,,Y,,Y,Y,,,,,,MTSU,MTSU (local),,Y,,,"MTSU does indeed list different first author, which is also found in an OCLC microform record"
"Complete church hymnal, The : just what the name implies","Walton, A. R.; Morris, H. F.; Henson, J. M.","Atlanta, GA; Oklahoma City, OK",Morris-Henson Co.,,,1925,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Congregational harp : a collection of hymn tunes, sentences and chants ...","Barnes, L. B.","Boston, MA; New York, NY; Philadelphia, PA; Cincinnati, OH; New Orleans, LA",Oliver Ditson; S. T. Gordon; John E. Gould; D. A. Truax; H. D. Hewitt,,,1856,,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,Y,,,,,,,,,,,,,Y?,,,,,,,MTSU,MTSU (local),,Y,,,
Coronet : a compilation of bright gems ...,"Hissem, Silas M.","Singers Glen, VA",Joseph Funk's Sons,,,1874,,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y?,,MTSU,MTSU (local),,Y,,,
Crown glory : a book of sacred songs ...,"Perry, F. Clark; Perry, S. J.; Perry, J. C.","Waco, TX; Chattanooga, TN",Perry Brothers Music Co.,,,1902,Y,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Crowning hymns no. 5,"Henson, J. M.; Walton, A. R.; Morris, Homer F.; Jones, P. B.; Jackson, Edgar; Peck, Emory S.; Lents, W. S.; Gladden, Thomas O.; Whitworth, Byron L.; Tinsley, W. C.; Laney, Thomas J.; McBrayer, N. L.; Lawler, L. E.; Lee, E. C.; Stafford, C. C.","Atlanta, GA",Southern Music Plate Co.,,,1925,,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Crowns of love,"Showalter, A. J.","Dalton, GA; Dallas, TX; Chattanooga, TN",A. J. Showalter Company; The Showalter-Patton Co.; Perry Brothers Music Co.,,,1919,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"David, the shepherd boy : a cantata in ten scenes ... with numbers for children's voices ...","Butterworth, Hezekiah; Root, George F.","Cincinnati, OH; Chicago, IL",John Church and Co.; Root and Sons Music Co.,,,1882,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,MTSU,MTSU (local),,Y,,,
"Dortch's gospel voices number one : for Sunday schools, church services ...","Dortch, D. E.","Charlotte, NC",C. H. Robinson and Co.,,,1895,,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Dortch's gospel voices number two : for Sunday schools, church services ...","Dortch, D. E.","Nashville, TN",D. E. Dortch,,,1900,,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Easter gladness : a beautiful Easter service for Sunday schools,"Judefind, W. B.; Judefind, A. L.; Mills, Mary","Baltimore, MD",Judefind Bros. Publishers,,,1924,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Echoes of glory : a choice collection of sacred songs,"Clark, Roswell G.","Moultrie, GA",Roswell G. Clark,,,1922,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Empire of song : containing theory and practice lessons for singing classes ...,"Root, George F.","Cincinnati, OH; Chicago, IL; New York, NY",John Church and Co.; Root and Sons Music Co.,,,1887,,,,?,?,oblong,,?,English,Mixed,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,MTSU,MTSU (local),,Y,,,
"Eureka evangel, The","Cooper, W. O.; Oslin, S. J.; Vines, J. M.; Widmeyer, C. B.; Kyme, George, Cunningham, R. H.; Burks, V. P.; Hays, W. M.; Slater, W. W.; Riley, J. C.; Gregory, A. H.; Coleman, P. H.; Brooks, R. H.","Stigler, OK; Carrollton, GA; Cullman, AL",The Eureka Publishing Company,,,1912,,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Eureka jewels,"Brooks, R. H.; Shanks, H. C.; Huggins, H. E.; Nigg, W. R.; Sweatmon, Thomas R.; Wadrep, J. W.; Pressley, J. C.; La Croix, C. H.; Morris, H. F.","Stigler, OK; Oneonta, AL; Morristown, TN; Seymour, TX",The Eureka Publishing Company,,,1914,,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Eureka songster, The : a small collection of choice songs for family and school use","Wilson, William J.","Stigler, OK?",Eureka Publishing Company?,,,1917,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,Y?,,,,,,,,,MTSU,MTSU (local),,Y,,,"No publication info in MTSU local catalog entry, but probably a Eureka Pub. Co. product"
Eureka tidings of joy : a superior collection of sacred songs,"Oslin, S. J.","Stigler, OK/IT",Eureka Publishing Company,,,1905,,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Evangel light,"Bateman, B. B.; Bateman, G. M.; Boyd, Holland L.; Yarnell, J. R.; Ogle, M. M.; Sitzlar, N. S.; Beazley, S. W.; Morris, Homer F.; Wyrick, Clio; Klepper, M. S.","Knoxville, TN; North Little Rock, AR",Bateman Brothers,,,1920,,,,?,?,,,?,English,Sacred,Y,,,,,Y?,,,,,Y,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Evangel, The","Coleman, Robert; Hamilton, W. W.","Philadelphia, PA; Boston, MA; New York, NY; Chicago, IL; St. Louis, MO; Dallas, TX; Atlanta, GA",American Baptist Publication Society,,,1909,,,,?,?,,Baptist (ABCUSA),?,English,Sacred,Y,,,,,,Y,,,,,,Y?,,,,,,,Y,,,,,,,,,MTSU,MTSU (local),,Y,,,
Evangeliums-Lieder = Gospel hymns : mit deutschen Kernliedern,"Rauschenbusch, Walter; Sankey, Ira D.","New York, NY; Chicago, IL; Cincinnati, OH",Biglow and Main Co.; John Church Co.,,,1890,,,,?,?,,,?,German,Sacred,Y,,,,,,,,Y,,,,Y,,,,,,,Y,,,,,,,,,MTSU,MTSU (local),,Y,,,"MTSU local catalog gives name as ""Kauschenbusch"""
Favorite anthems : a selection of brilliant and easy-grade pieces ...,"Hunt, J. M.; McPherson, John","Kansas City, MO",J. M. Hunt Music Co.,,,1902,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,MTSU,MTSU (local),,Y,,,
Fillmore's jewels for little singers,"Fillmore, J. H.","Cincinnati, OH",Fillmore Music House,,,1898,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Flower praise : a floral service for the children of the Sunday school,"Burnham, Clara Louise; Root, George F.","Cincinnati, OH; Chicago, IL; New York, NY",,,,1886,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,"MTSU record lists last name as ""Burnaham"""
Folk songs of the American Negro no. 2,"Work, Frederick J.; Work, John W.","Nashville, TN",Work Brothers and Hart Co.,,,1907,Y,,,?,?,,,?,English,Mixed?,Y,,,,,,,,,Y,,,,,,,Y,,,,,,,,,Y,,,MTSU,MTSU (local),,Y,,,
Garden of song,"Hildebrand, E. T.; Edmonds, L. E.; Burress, P. B.; Lindsey, G. L.; Long, J. Owen; Dailey, J. G.; Beazley, S. W.; Tovey, Herbert G.; Carney, George I.; Azzo, Minor; Welch, Jackson","Basic, VA",Hildebrand-Burnett Company,,,1917,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Gem of gems : a choice collection of sacred songs ...,"Hull, Asa","New York, NY; Boston, MA; Baltimore, MD; Cincinnati, OH; Chicago, IL; Philadelphia, PA",Daniel W. Knowles; J. P. Magee; D. H. Carroll; John Church and Co.; Henry A. Sumner and Co.; Perkinpine and Higgins,,,1881,,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Gems for the Sunday-schools,"Beall, B. B.","Douglasville, GA",B. B. Beall and Co.,,,1902,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
Glad hosannas for Sunday schools,?,"Singers Glen, VA; Charleston, WV; Baltimore, MD; Richmond, VA; Bucyrus, OH",Ruebush and Kieffer; S. S. Moore; t. Newton Kurtz; T. R. Holsinger; H. B. Brenneman; Stark and Ryland,,,1870,Y,,,?,?,oblong,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
"Glad news : a collection of sacred songs, both new and old, for the church, the Sunday-school, the revival, the singing school, the singing convention, and all kinds of religious work and worship","Helton, Alfred E.; Green, Isaac G.; Hayes, Minnis R.; Brock, C. A.; Loudy, Adlai A.; Hickman, W. T.; Smith, W. T.; McClurd, E. B.; Speer, G. T.; Williams, W. A.; Holt, John H.; Quillen, W. Henry; Box, G. A.; Styles, N. I.; Hodges, J. L.; Alexander, C. C.; Greene, Z. T.; Cook, W. N.; Sayles, H. F.; Moon, Henry A.; Smith, J. Houston; Dollar, W. Chester; Bacon, George W.; Jones, Noble C.; Hayes, Stuart B.; Smith, Millard H.; Belue, Elgar M.; McCluskey, S. W.; McLean, A. Q.; Orr, P. P.; Matthews, John D.","Hudson, NC",The Teachers' Music Publishing Company,,,1916,,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,Y,,MTSU,MTSU (local),,Y,,,
Glad news no. 2 : a collection of sacred songs ...,"Helton, Alfred E.; Green, Isaac G.; Box, G. A.","Hudson, NC",Teacher's Music Publishing Company,,,1918,,,,?,?,,,?,English,Sacred,Y,,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,Y,,MTSU,MTSU (local),,Y,,,
"Glad tidings for Sunday schools, revival meetings ...","Rosecrans, J. H.","Cincinnati, OH; New York, NY",Fillmore Brothers,,,1899,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,MTSU,MTSU (local),,Y,,,
"Gleaner, The","Beazley, Samuel W.","Waco, TX; Memphis, TN",The Trio Music Company,,,1916,Y,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Glorious praise,"Stanley, J. H.; Bazley, S. W.; Pannell, J. H.; Peek, C. E.; Gabriel, Charles H.; Funderburk, A. L.; Fairchild, N. B.; Hazelwood, Ausin; Rainwater, C. W.; Murphy, Eldridge; Parris, O. A.; Raper, D. R.; Dye, L. G.; Ussery, M. D.; York, Will; Millukin, F. T.","Saltillo, MS; Springfield, MO; Dallas, TX; Pell City, AL",The Stanley-Gardner Co.; The Ozark Music Co.; H. N. Lincon and Co.; Austin Hazelwood,,,1921,,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Glory crown, The","Emmett, Dean S.","Waco, TX",The Trio Music Company,,,1900,?,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
Glory echoes,"Sebren, George W.; Carr, J. H.; Dyess, T. Q.; Sebren, A. B.; Stamps, V. O.; Moody, Charles E.; Henson, J. M.; Rippetoe, Ernest; Bobo, George W.; Weams, McD.","Asheville, NC; Comanche, TX",The Progressive Music Co.; Geo. W. Sebren,,,1921,?,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,MTSU,MTSU (local),,Y,,,
"Glory evangel : for the church, Sunday- school, evangelistic services ...","Ganus, W. P.; Ganus, S. A.; Bryant, E. J.","Bessemer, AL",The Tuscaloosa Music Co.,,,1917,?,,,?,?,,,?,English,Sacred,Y,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,Y,,MTSU,MTSU (local),,Y,,,
